Type,Release Year,Purchase Amtount
Original,2019,49.23
Original,2017,0
Original,2017,31.54
New,2018,26.07
Original,2017,17.85
New,2017,13.85
Original,2017,22.32
Original,2017,61.17
New,2017,7.93
Original,2017,6.81
New,2018,52.62
Original,2017,28.7
New,2018,7.64
New,2018,21.05
New,2017,43.4
Original,2017,41.37
Original,2018,23.62
Original,2018,0
New,2017,12.79
New,2017,26.25
Original,2018,51.02
New,2017,20.21
New,2018,26.22
Original,2018,100.52
Original,2017,31.53
New,2017,23.86
New,2017,24.84
Original,2017,14.45
Original,2018,13.68
Original,2017,15.41
New,2018,15.68
New,2017,29.53
New,2018,6.87
New,2017,4.83
Original,2018,112.85
Original,2018,24.8
Original,2017,28.96
New,2018,40.51
Original,2018,34.99
Original,2018,38.98
Original,2017,0
New,2017,10.55
Original,2017,20.99
Original,2017,22.92
New,2018,89.36
New,2018,53.07
Original,2017,22.12
New,2017,8.36
Original,2018,0
Original,2017,15.36
Original,2018,14.98
New,2017,10.46
Original,2017,23.66
Original,2018,7.68
Original,2017,18.78
New,2018,18.95
Original,2020,45.43
New,2019,45.79
New,2018,24.28
Original,2018,62.81
New,2020,25.83
New,2018,48.62
Original,2017,28.31
New,2017,24.67
Original,2020,35.16
New,2017,6.45
Original,2017,4
New,2018,27.64
Original,2017,36.09
New,2018,41.74
New,2017,33.16
New,2017,12.74
Original,2018,49.63
Original,2017,18.98
Original,2019,203.99
Original,2017,16.99
Original,2018,24.98
Original,2017,22.11
Original,2017,7.86
New,2018,0
Original,2020,28.9
New,2017,12.2
New,2019,31.29
Original,2018,23.95
Original,2017,41.99
Original,2017,14.19
New,2018,19
Original,2017,20.45
New,2017,37.04
New,2017,14.16
New,2017,14.42
Original,2017,23.65
New,2018,32.81
Original,2018,58.12
New,2017,5.25
New,2017,24.18
Original,2018,97.6
Original,2018,35.29
New,2018,17.89
Original,2017,0
New,2017,7.39
New,2018,24.41
New,2020,32.67
New,2018,6.71
Original,2018,15.36
Original,2017,54.38
New,2019,33.03
Original,2017,9.08
Original,2018,14.15
New,2018,32.2
Original,2017,24.99
Original,2018,27.58
Original,2018,53.99
Original,2018,4
Original,2018,15.48
Original,2018,15.94
New,2017,7.04
New,2020,14.62
New,2017,10.3
New,2017,354.53
Original,2017,16.84
Original,2018,5.98
New,2018,29.56
Original,2018,0
Original,2017,4.4
Original,2018,51.93
New,2017,44.84
New,2017,12.68
New,2017,5.54
New,2018,5.03
Original,2017,33.01
New,2017,52.64
Original,2020,13.98
New,2018,29.08
New,2018,16.73
New,2017,0
New,2018,36.8
New,2017,38.72
New,2018,35
Original,2018,4.27
Original,2017,24.08
New,2017,128.35
Original,2018,4.97
Original,2018,23.33
Original,2018,7.28
New,2018,41.25
New,2017,19.02
New,2017,8.85
New,2017,35.96
New,2018,25.63
Original,2019,41.11
New,2017,26.22
New,2019,26.86
New,2017,52.2
Original,2017,18.77
Original,2018,39.3
Original,2017,10.54
Original,2017,19.19
New,2018,38.54
Original,2017,5.14
New,2017,37.3
New,2017,26.75
New,2017,18.61
New,2018,13.7
Original,2019,22.93
Original,2018,40.48
New,2019,35.74
New,2018,27.28
Original,2017,30.98
Original,2018,47.42
New,2017,50.82
New,2017,22.15
New,2020,54.93
Original,2017,0
New,2017,15.46
New,2018,61.82
New,2018,16.17
Original,2018,9.98
New,2017,18.63
Original,2018,22.3
New,2019,34.82
Original,2017,24.93
Original,2017,23.98
Original,2018,0
New,2017,10.48
New,2017,5.45
Original,2017,18.59
Original,2018,45.45
New,2017,0
Original,2019,45.96
Original,2020,17.16
Original,2017,4.32
Original,2017,32.22
New,2018,13.66
Original,2018,15.73
New,2018,10.7
New,2019,64.84
New,2018,0
Original,2018,26.43
New,2017,34.42
New,2018,19.78
Original,2018,48.99
New,2020,18.98
New,2017,5.06
New,2017,22.08
New,2017,37.76
Original,2018,22
New,2018,20.22
New,2018,16.86
New,2019,31.51
Original,2017,36.07
New,2017,9.05
New,2018,16.47
New,2017,46.21
Original,2018,16.08
Original,2017,28.15
New,2018,23.22
Original,2018,27.6
Original,2017,0
New,2017,0
Original,2018,14.98
New,2017,44.61
New,2018,56.12
Original,2017,24.19
New,2018,41.75
New,2018,4.87
New,2017,19.41
Original,2017,4.98
New,2018,8.86
Original,2018,22.82
New,2018,45.81
Original,2017,31.29
New,2017,14.79
Original,2017,0
Original,2018,14.55
Original,2017,14.1
Original,2017,20.99
Original,2017,34.99
New,2017,21.42
Original,2017,15.66
Original,2017,27.5
New,2017,39.68
New,2017,35.97
New,2017,35.5
Original,2017,42.54
New,2020,34.54
Original,2017,5.12
Original,2017,28.4
Original,2017,23.22
New,2017,37.57
New,2018,41.79
Original,2018,0
New,2017,117.78
Original,2017,19.09
New,2017,35.56
Original,2017,31.28
New,2017,25.44
Original,2017,24.14
New,2017,165.17
Original,2018,6.11
Original,2017,0
Original,2017,67.84
Original,2017,17.02
New,2017,77.92
New,2018,40.04
New,2020,22.27
New,2018,19.42
New,2017,67.08
Original,2018,58.88
New,2018,7.01
Original,2018,57.96
Original,2017,43.83
Original,2017,12.69
Original,2018,32.33
New,2017,31.83
Original,2020,0
Original,2017,20.79
Original,2017,0
Original,2017,17.03
New,2017,33.84
New,2018,0
Original,2017,12.44
Original,2017,6.38
New,2017,45.25
New,2017,5.9
Original,2017,23.49
New,2018,10.01
New,2017,29.74
Original,2018,47.04
Original,2017,8.98
Original,2018,53.98
New,2017,14.65
Original,2020,32.35
Original,2017,14.05
Original,2018,23.99
New,2018,16.5
New,2017,35.1
New,2018,18.5
Original,2017,27.99
Original,2018,16.72
New,2017,13.78
Original,2017,50.13
New,2017,29.46
New,2018,24.77
New,2018,21.68
Original,2018,16.62
New,2018,43.15
New,2017,37.99
Original,2018,85.77
Original,2018,34.13
Original,2018,43.94
New,2017,16.41
New,2018,56.69
Original,2017,53.99
Original,2018,22.62
New,2018,136.17
New,2018,39.58
New,2018,15.38
Original,2017,52.56
New,2018,0
Original,2018,5.19
Original,2018,17.19
Original,2018,12.75
New,2018,15.57
New,2017,11.94
Original,2018,38.14
Original,2018,55.24
New,2017,15.3
New,2017,27.37
New,2018,24.49
Original,2019,46.97
Original,2019,44.34
New,2017,12.6
New,2017,29.18
Original,2018,15.53
Original,2017,5.4
New,2018,44.75
Original,2017,22.3
New,2017,20.56
New,2017,92.18
New,2018,20.44
Original,2018,23.33
New,2017,48.45
New,2017,34.3
Original,2018,10.23
Original,2017,25.72
Original,2018,18.84
New,2017,99.27
Original,2018,6.32
New,2020,40.19
Original,2017,5.46
New,2018,27.94
New,2017,32.23
New,2017,54.55
New,2017,20.64
New,2018,4.79
Original,2018,31.41
Original,2017,33.99
New,2018,34.04
New,2020,87.15
New,2018,40.26
Original,2018,16.19
Original,2017,33.99
New,2018,33.78
Original,2018,20.79
New,2020,0
Original,2018,13.98
Original,2018,31.58
New,2017,44.08
Original,2018,5.4
Original,2018,13.73
New,2017,11.57
New,2017,8.65
Original,2018,75.9
New,2017,38.68
Original,2018,29.04
New,2017,71.27
Original,2017,31.87
Original,2017,19.03
Original,2017,31.99
Original,2018,11.88
New,2018,32.29
Original,2018,12.01
Original,2017,28.01
New,2018,16.72
Original,2018,29.23
New,2017,26.56
New,2018,7.99
New,2018,59.07
New,2017,21.34
New,2017,24.21
New,2017,13.47
Original,2017,8.03
New,2017,43.5
New,2018,0
New,2017,82.79
Original,2018,40.19
Original,2018,27.11
Original,2019,68.04
New,2018,17.27
Original,2017,0
New,2019,27.32
New,2018,43.53
Original,2018,40.44
Original,2017,26.13
Original,2018,33.97
Original,2018,10.36
Original,2017,32.47
Original,2017,46.4
Original,2017,5.14
Original,2018,31.48
New,2018,0
New,2017,32.67
New,2018,0
Original,2017,16.89
New,2017,109.79
New,2018,43.94
New,2017,8.25
New,2018,23.79
Original,2017,39.14
Original,2020,16.59
New,2017,34.05
New,2017,31.98
Original,2017,7.43
New,2017,13.37
Original,2018,24.76
New,2018,39.35
Original,2018,22.71
Original,2018,12.49
Original,2017,23.37
Original,2018,23.49
Original,2017,48.79
Original,2018,36.67
Original,2017,0
New,2017,40.88
Original,2018,0
Original,2017,29.9
New,2017,26.05
New,2018,43.4
New,2017,24.69
New,2017,31.27
New,2018,137.87
Original,2020,0
Original,2017,21.48
Original,2017,6.89
Original,2018,10.01
Original,2018,34.65
Original,2017,38.98
New,2017,10.05
Original,2017,17.73
New,2018,19.27
Original,2017,22.64
New,2017,24.63
New,2017,10.03
New,2018,27.44
New,2018,16.03
New,2017,13.22
Original,2017,4.75
Original,2018,28.79
Original,2018,12.94
New,2018,17.69
Original,2018,49.84
Original,2017,15.04
Original,2017,39.35
Original,2017,22.43
Original,2017,0
New,2017,25.4
New,2020,0
Original,2017,11.24
New,2018,20.79
Original,2017,16.91
Original,2017,53.09
New,2018,51.27
New,2017,10.21
New,2017,0
Original,2018,9.94
Original,2017,5.39
Original,2017,19.94
Original,2018,18.42
New,2018,104.95
New,2018,21.56
Original,2018,19.88
Original,2017,21.09
New,2017,42.72
New,2018,9.11
Original,2018,9.92
New,2018,20.47
Original,2018,23.8
New,2017,31.55
Original,2017,13.63
New,2017,5
Original,2018,114.98
Original,2017,10.05
New,2017,24.14
New,2018,25.77
New,2017,0
New,2017,32.07
New,2017,35.35
Original,2018,14.89
Original,2017,29.43
New,2017,0
Original,2017,33.99
New,2018,32.92
Original,2018,11.17
New,2018,45.57
Original,2018,14.49
New,2018,26.91
New,2018,15.56
Original,2017,23.17
Original,2018,23.65
Original,2017,4.8
Original,2017,53.98
Original,2017,93.97
New,2017,26.64
New,2018,4.23
New,2019,35.36
Original,2017,20.83
New,2019,42.28
New,2018,22.04
Original,2018,0
New,2020,40.89
New,2019,0
Original,2017,18.67
Original,2018,43.43
New,2018,16.37
New,2017,43.46
Original,2019,121.67
New,2017,3.64
Original,2017,15.48
New,2018,0
Original,2018,0
Original,2017,40.59
Original,2017,48.29
Original,2017,6.17
Original,2018,23.05
New,2017,14.39
Original,2018,32.59
Original,2018,7.86
Original,2017,13.52
Original,2017,37.45
New,2017,29.71
Original,2018,18.05
New,2017,27.72
Original,2017,38.44
New,2018,22.84
Original,2017,12.98
New,2018,30.49
New,2017,38.5
New,2017,40.93
Original,2018,15.82
New,2017,15
Original,2017,4
New,2020,45.49
Original,2018,26.62
New,2018,11.52
New,2017,44.64
New,2017,14.34
New,2017,28.98
New,2018,25.98
Original,2018,17.19
New,2017,34.58
New,2018,4.61
New,2017,147.15
New,2018,13.07
New,2017,0
Original,2018,27.48
New,2018,30.64
New,2017,18.89
New,2017,30.46
New,2017,5.77
Original,2018,16.96
New,2018,24.48
Original,2018,11.59
New,2018,32.18
New,2017,20.78
Original,2017,0
Original,2017,0
Original,2018,20.91
Original,2017,33
New,2017,53.8
Original,2017,8.3
New,2019,0
Original,2017,22.77
Original,2017,62.9
Original,2018,53.99
New,2018,22.77
Original,2017,0
New,2018,28.7
Original,2017,69.53
New,2018,48.52
Original,2018,0
New,2018,26.45
New,2017,32.29
New,2017,23.11
Original,2017,35.99
Original,2018,37.28
New,2017,8.81
New,2018,99.08
Original,2018,5.14
Original,2018,11.98
Original,2018,12.99
New,2017,24.3
Original,2017,27.12
Original,2017,28.99
New,2017,0
New,2017,19.33
New,2017,45.42
Original,2017,17.81
New,2017,11.96
New,2017,0
New,2017,24.98
New,2018,16.22
Original,2017,11
New,2018,35.28
Original,2017,15.97
Original,2017,0
Original,2017,42.75
Original,2018,15.86
Original,2018,15.95
Original,2018,176.24
Original,2017,26.87
New,2018,5.79
Original,2017,15.98
Original,2018,102.16
Original,2018,22.11
Original,2017,44.89
New,2018,15.24
Original,2020,33.92
Original,2017,4.26
New,2017,67.25
New,2018,50.59
New,2018,40.82
New,2018,55.06
New,2017,4.21
New,2017,84.37
New,2018,36.93
New,2017,8.02
New,2017,12.51
Original,2018,28.69
Original,2017,9.84
New,2020,29.6
Original,2017,4
Original,2017,20.99
Original,2018,6.31
Original,2017,38.64
Original,2018,17.98
Original,2018,24.27
New,2017,13.47
New,2017,45.21
New,2017,33.03
New,2018,4.81
Original,2017,35.99
Original,2020,67.24
Original,2018,23.33
Original,2017,11.49
New,2018,23.31
New,2017,0
Original,2017,6.73
New,2018,53.47
New,2020,47.78
Original,2017,15.83
Original,2017,28.49
Original,2017,4
Original,2018,46.98
New,2017,29.48
New,2018,0
Original,2018,46.86
New,2018,39.79
New,2018,44.38
New,2017,13.23
New,2018,16.6
Original,2018,9.67
Original,2017,29.92
New,2017,19.56
New,2018,24.27
New,2017,13.28
Original,2018,23.64
Original,2017,30.35
Original,2017,25.75
Original,2017,20.97
New,2017,29.64
New,2017,106.32
New,2018,46.74
New,2017,34.2
New,2017,43.18
Original,2017,15.1
New,2017,36.45
Original,2017,17.9
Original,2017,26.69
New,2017,24.03
New,2017,30.24
Original,2018,24.74
Original,2018,19.99
Original,2017,41.98
Original,2018,7.69
New,2017,43.8
New,2018,41.89
New,2017,32.99
Original,2017,22.98
Original,2017,13.98
New,2017,9.49
Original,2017,7.78
Original,2018,40.73
Original,2018,75.71
New,2017,5.62
Original,2017,26.99
New,2017,39.6
Original,2020,58.51
New,2018,143.61
New,2017,4.92
New,2018,66.58
Original,2017,24.55
New,2018,39.65
New,2017,80.21
New,2018,0
Original,2018,5.34
Original,2017,12.82
Original,2017,17.21
New,2019,0
Original,2018,205.02
Original,2018,4.17
Original,2017,28.49
New,2017,14.57
Original,2017,43.99
New,2017,12.95
New,2017,41
New,2018,17.68
Original,2017,5.8
Original,2018,41.83
New,2018,50.4
Original,2018,17.14
New,2017,45.44
New,2017,6.61
Original,2018,120.95
Original,2017,18.09
New,2017,20.8
Original,2017,18.04
Original,2018,0
New,2018,38.47
New,2018,20.93
New,2017,19.52
New,2017,20.52
New,2018,46.41
New,2017,47.13
New,2018,40.84
Original,2018,43.99
Original,2017,24.09
New,2017,0
Original,2017,45.99
Original,2018,15.99
New,2018,0
New,2018,35.35
Original,2017,0
New,2017,4
New,2018,0
New,2018,56.31
Original,2018,178.97
New,2017,32.21
New,2019,52.4
Original,2017,28.42
New,2018,19.58
New,2018,23.69
Original,2017,36.98
New,2017,13.93
Original,2018,11.05
New,2017,38.63
Original,2017,25.95
Original,2018,15.93
Original,2017,14.22
Original,2020,0
Original,2018,16.72
Original,2017,19.11
Original,2017,21.95
New,2018,19.63
Original,2017,21.22
Original,2017,4.06
Original,2018,18.19
Original,2017,45.56
New,2017,45.26
Original,2018,21.31
New,2017,16.84
New,2017,29.97
Original,2018,15.95
New,2017,41.32
New,2018,38.23
New,2018,32.57
New,2018,15.48
Original,2018,23.52
Original,2017,11.99
Original,2017,28.98
Original,2020,16.53
Original,2018,19.08
New,2018,4.86
Original,2019,40.33
Original,2017,21.99
New,2017,48.76
New,2017,12.65
Original,2017,15.99
Original,2019,33.99
Original,2017,13.93
Original,2017,9.15
New,2017,5.78
New,2017,39.19
Original,2018,43.95
New,2018,13.45
Original,2018,35.25
Original,2017,22.1
Original,2018,15.98
Original,2018,27.88
New,2017,11.44
Original,2017,39.28
New,2017,5.11
New,2017,23.96
New,2018,24.84
Original,2017,19.53
Original,2017,33.67
Original,2017,24.84
Original,2017,18.63
New,2018,17.47
New,2017,8.5
Original,2018,0
New,2018,27.39
Original,2018,35.1
New,2018,34.94
New,2018,20.11
Original,2018,44.57
New,2019,11.99
New,2020,35.1
Original,2017,23.99
New,2018,35.14
Original,2017,57.87
Original,2018,11.76
New,2017,13.33
Original,2018,23.99
Original,2017,16.71
Original,2017,39.98
New,2017,13.02
New,2017,31.81
Original,2017,3.85
New,2018,13.13
Original,2018,37.98
Original,2018,8.3
Original,2018,16.94
New,2017,17.02
Original,2017,17.91
Original,2017,21.73
New,2018,8.78
New,2017,28.13
Original,2017,22.19
New,2018,4.2
Original,2018,75.94
Original,2018,77.4
Original,2017,0
Original,2018,4
Original,2017,9.95
New,2017,46.37
New,2017,9.2
Original,2017,12.28
Original,2018,14.52
New,2018,21.43
Original,2017,9.34
New,2018,9.73
Original,2017,40
Original,2017,10.98
New,2018,22.8
New,2018,44.87
New,2018,28.3
New,2018,22.12
Original,2018,109.94
Original,2017,19.98
New,2018,38.53
New,2019,34.42
New,2018,56.82
New,2017,29.05
Original,2017,14.28
Original,2018,31.4
Original,2018,0
New,2017,139.19
Original,2017,20.79
New,2017,16.63
New,2017,22
Original,2018,31.77
Original,2018,0
Original,2017,44.81
Original,2018,19.99
New,2017,4.27
New,2018,101.14
New,2018,9.99
Original,2017,29.77
Original,2017,23.28
Original,2018,0
Original,2017,46.18
New,2017,16.88
Original,2018,4
New,2018,18.49
Original,2017,20.72
Original,2017,11.49
New,2018,69.26
Original,2018,89.82
Original,2018,23.94
Original,2018,10.84
New,2018,104.82
Original,2018,192.45
New,2017,100.47
New,2017,6.44
Original,2017,33.94
New,2017,0
New,2017,21.86
New,2018,0
Original,2017,27.69
Original,2017,26.95
Original,2018,112.49
Original,2017,14.73
Original,2017,23.7
New,2017,15.39
New,2017,8.53
New,2017,30.07
New,2018,24.15
New,2017,13.26
New,2017,12.97
Original,2017,18.99
Original,2017,7.19
New,2018,51.41
Original,2017,25.03
New,2018,35.92
New,2018,9.58
Original,2017,18.54
New,2017,15.42
Original,2018,31.98
New,2019,16.36
New,2017,13.28
Original,2018,17.93
Original,2017,7.95
Original,2017,11.27
Original,2017,11.5
Original,2017,4
New,2017,15.48
Original,2017,16.18
New,2018,44.91
New,2017,8.18
New,2017,6.25
Original,2017,43.29
New,2018,40.57
New,2017,9.76
New,2017,42.75
Original,2017,31.99
New,2017,34.24
Original,2017,4.02
Original,2017,12.83
Original,2018,46.61
Original,2018,93.94
New,2018,7.43
Original,2017,13.79
New,2017,6.1
Original,2017,13.08
Original,2018,27.95
New,2017,28.44
Original,2018,30.32
Original,2018,99.95
Original,2017,33.99
New,2017,23.03
New,2017,27.08
New,2018,69.72
Original,2018,32.01
New,2018,27.85
New,2018,33.79
Original,2018,18.96
Original,2017,35.18
New,2018,16.56
New,2017,15.08
New,2018,32.35
Original,2018,25.09
Original,2017,9.99
Original,2018,23.98
Original,2017,43.98
New,2017,9.46
Original,2017,15.48
Original,2018,12.93
Original,2017,26.98
Original,2017,23.99
Original,2017,37.81
New,2018,17.24
New,2017,34.82
Original,2018,22.15
New,2017,15.49
Original,2017,20.28
New,2017,36.68
Original,2017,20.1
Original,2017,28.58
Original,2017,40.67
New,2018,50.82
New,2017,50.74
Original,2017,16.05
New,2017,11.6
Original,2020,48.34
New,2019,53.55
Original,2017,25.14
New,2017,48.01
Original,2017,26.71
Original,2017,4.75
Original,2017,15.6
New,2017,12.29
New,2017,21.06
Original,2018,15.07
New,2018,21.73
Original,2017,29.74
New,2017,35.56
New,2018,18.84
Original,2017,4.26
Original,2018,28.03
Original,2017,0
New,2017,29.53
Original,2017,44.55
Original,2017,18.81
New,2017,40.79
New,2017,27.59
Original,2018,22.76
New,2017,17.33
Original,2017,27.53
New,2019,203.98
New,2018,34.58
New,2018,7.48
Original,2018,49.11
Original,2018,6.94
Original,2017,5.35
Original,2018,19.22
Original,2018,13.62
Original,2017,25.98
New,2017,37.8
Original,2018,13.96
Original,2018,18.98
New,2017,20.38
New,2018,42.66
Original,2018,27.5
Original,2017,38.99
New,2018,32.17
New,2017,10.42
New,2018,27.05
Original,2017,17.16
New,2018,11.57
New,2018,11.97
New,2018,114.22
New,2017,54.51
Original,2018,28.65
New,2017,23.24
New,2018,15.62
New,2017,19.93
Original,2017,25.49
Original,2017,24.05
New,2017,29.64
New,2020,24
New,2017,31.63
New,2017,10.73
Original,2018,8.17
New,2017,33.63
Original,2017,27.11
New,2018,36.92
New,2017,11
Original,2018,0
Original,2018,13.94
Original,2017,13.04
New,2018,0
Original,2018,37.1
New,2018,24.48
Original,2018,22.99
New,2018,8.51
New,2018,51.36
Original,2017,10.23
New,2017,19.37
New,2017,0
New,2017,20.66
New,2017,36.2
Original,2017,13.53
Original,2017,26.44
New,2019,0
New,2017,18.76
Original,2018,0
Original,2017,22.17
Original,2018,0
New,2017,19.12
New,2018,8.67
New,2017,54.87
New,2017,14.86
Original,2017,5.7
Original,2017,18.99
Original,2018,22.97
New,2017,19.34
New,2017,25.73
New,2017,54.06
New,2017,32.22
Original,2018,17.28
Original,2018,18.14
New,2017,40.53
New,2018,18.61
Original,2017,72.98
Original,2017,27.96
New,2017,5.63
New,2017,24.89
Original,2018,10.73
Original,2018,20.08
Original,2018,17.68
New,2017,72.67
Original,2017,41.93
Original,2018,4.78
Original,2017,15.99
Original,2018,29.19
Original,2017,16.44
New,2020,17.11
Original,2017,45.88
New,2018,34.62
Original,2018,0
Original,2018,131.22
New,2018,27.07
New,2018,11.96
New,2018,23.99
New,2017,5.93
New,2017,4.88
Original,2018,23.99
New,2017,108.09
New,2017,29.64
New,2017,13.8
Original,2018,5.75
Original,2017,5.21
New,2018,29.96
Original,2019,38.46
New,2018,29.86
New,2018,18.83
Original,2018,12.95
New,2017,26.16
New,2017,17.46
Original,2017,36.49
Original,2017,33.39
Original,2017,37.64
New,2018,21
New,2018,30.4
New,2017,4.79
Original,2017,23.36
Original,2018,5.82
New,2017,24.59
Original,2018,3
New,2017,43.84
New,2020,35.66
Original,2017,15.55
New,2018,40.32
Original,2017,11.11
New,2017,16.8
Original,2018,59.98
New,2020,26.57
Original,2017,4
New,2018,17.1
New,2018,15.66
New,2017,23.92
New,2017,18.01
Original,2017,64.8
New,2017,24.69
New,2018,97.11
New,2017,15.94
Original,2017,53.99
New,2017,8.83
New,2018,12.23
New,2017,19.55
New,2018,17.76
Original,2017,16.19
Original,2018,22.37
Original,2017,3.77
Original,2018,25.63
Original,2018,0
New,2017,25.93
New,2018,41.35
Original,2018,23.57
Original,2017,43.98
Original,2017,56.98
Original,2017,0
New,2017,46.86
Original,2017,42.21
New,2018,42.49
New,2020,49.31
New,2017,5.08
Original,2018,43.82
New,2018,25.84
New,2017,17.44
Original,2018,87.64
New,2020,16.41
Original,2017,32.96
Original,2017,5.94
Original,2017,25.17
New,2018,27.85
New,2018,14.62
Original,2018,128.99
Original,2018,50.69
Original,2018,23.43
Original,2018,16.47
Original,2018,19.84
New,2018,4.44
New,2017,4.63
Original,2018,13.57
New,2018,25.16
New,2018,36.69
Original,2018,15.3
New,2017,16.01
New,2017,35.88
Original,2017,31.34
Original,2018,37.98
New,2018,16.19
New,2017,27.23
New,2017,16.79
Original,2018,21.92
New,2017,29
New,2017,0
New,2017,6.92
New,2017,19.42
New,2018,5.38
New,2017,27.26
New,2017,0
Original,2017,23.99
Original,2017,29.88
Original,2017,17.75
New,2017,41.99
Original,2017,25.6
Original,2017,53.98
New,2017,31.04
Original,2018,48.04
New,2018,13.94
Original,2018,28.53
Original,2018,27.94
New,2017,0
New,2018,9.49
Original,2018,4
Original,2017,8.47
Original,2017,40.01
New,2018,24.13
New,2018,17.32
New,2017,11.13
Original,2017,6.62
Original,2020,16.19
New,2018,76.6
Original,2017,0
Original,2018,43.5
New,2017,34.48
Original,2017,26.98
Original,2017,30.85
New,2017,38.84
New,2017,10.49
Original,2017,38.97
Original,2018,33.99
New,2018,16.71
New,2017,25.36
New,2017,43.95
New,2018,20.64
New,2017,48.29
Original,2018,42.99
New,2018,12.97
New,2018,33.88
Original,2018,51.42
New,2017,53.91
New,2017,92.54
New,2018,18
Original,2017,9.59
Original,2018,16.48
Original,2018,18.99
Original,2017,32.36
New,2017,15.84
Original,2017,20.74
Original,2017,4.39
Original,2018,16.46
New,2017,44.92
New,2017,0
Original,2017,18.33
New,2017,56.84
Original,2020,12.75
New,2018,30.74
New,2018,19.45
Original,2017,12.34
Original,2018,37.49
Original,2018,33.77
Original,2017,19.85
New,2017,20.42
New,2018,12.07
New,2018,38.24
New,2018,22.57
New,2017,26.53
Original,2017,39.44
New,2017,13.35
Original,2017,30.29
New,2017,13.73
New,2017,49.17
New,2018,34.9
Original,2018,78.69
New,2019,32.76
New,2018,6.06
Original,2020,54.22
New,2018,0
Original,2018,11.82
New,2018,0
New,2018,15.96
New,2017,32.02
New,2018,33.05
Original,2019,48
Original,2018,48.99
Original,2018,16.94
Original,2018,23.37
New,2017,23.59
Original,2017,23.73
New,2017,0
Original,2018,58.76
New,2017,0
Original,2017,4.98
New,2018,28.85
Original,2018,41.97
Original,2018,36.92
Original,2017,108.67
Original,2017,40.88
New,2017,12.66
New,2018,23.19
Original,2017,4.78
New,2018,42.04
New,2017,29.39
New,2018,22.19
Original,2017,7.83
Original,2017,0
New,2017,4.6
New,2017,14.49
Original,2017,31.79
Original,2017,29.29
New,2017,16.31
Original,2017,18.04
Original,2018,20.2
New,2017,17.14
Original,2017,18.93
Original,2018,28.43
Original,2017,16.53
New,2017,58.06
New,2018,36.88
New,2017,29.93
New,2020,31.76
Original,2018,43.18
New,2018,26.51
New,2017,53.93
Original,2019,10.98
New,2017,13.94
Original,2017,34.79
Original,2017,37.67
New,2017,6.08
Original,2018,4
Original,2018,20.99
Original,2017,11.3
New,2017,37.82
New,2018,64.24
Original,2018,12.74
New,2017,26.48
New,2018,34.32
New,2018,9.57
New,2017,4.73
Original,2018,13.24
New,2018,146.19
Original,2018,21.56
Original,2018,5.08
Original,2018,36.27
New,2018,0
Original,2018,38.17
Original,2018,47.62
New,2018,34.86
Original,2018,57.98
Original,2018,21.99
New,2018,30
New,2018,11.12
Original,2018,29.06
New,2018,49.05
New,2017,27.76
New,2017,14.18
New,2018,31.81
New,2017,43.45
New,2018,17.62
New,2017,12.78
New,2018,109.76
New,2018,29.41
Original,2017,17.78
New,2018,106.95
New,2018,29.87
Original,2018,28.21
New,2018,17.22
New,2017,24.82
Original,2017,0
Original,2017,35.64
New,2017,29.09
Original,2017,57.49
New,2020,33.78
New,2017,5.41
New,2018,31.19
Original,2017,8.87
Original,2018,38.54
Original,2017,27.41
Original,2018,93.49
New,2018,9.96
Original,2017,19.34
Original,2017,25.27
New,2017,8.49
Original,2017,13.18
New,2018,15.85
Original,2018,51.28
Original,2017,32.99
New,2017,36.01
Original,2018,51.95
Original,2018,9.7
New,2017,7.35
Original,2018,17.96
Original,2018,0
New,2017,38.26
Original,2018,10.23
Original,2017,11
New,2018,33.59
Original,2017,23.74
Original,2018,22.96
New,2017,12.22
Original,2020,28.94
New,2017,13.08
Original,2017,38.99
Original,2017,5.44
Original,2017,8.1
New,2017,5.76
Original,2017,33.93
Original,2019,28.21
Original,2017,38.3
New,2017,49.72
Original,2017,13.98
New,2017,4.59
New,2020,17.2
New,2017,47.12
Original,2017,54.58
New,2018,28.9
Original,2018,19.38
New,2018,9.73
Original,2018,13.8
Original,2017,14.72
New,2017,21.05
Original,2017,15.97
Original,2018,16.49
New,2018,25.69
Original,2018,10.73
Original,2017,106.98
New,2017,20.28
Original,2017,24.05
Original,2018,50.96
Original,2017,24.14
Original,2017,16.99
New,2017,33.83
Original,2018,14.09
Original,2018,20.96
Original,2017,19.82
New,2017,24.46
New,2017,10.31
New,2018,7.25
New,2017,11
New,2019,0
New,2017,34.83
New,2017,50.26
New,2017,10.33
Original,2020,41.77
Original,2018,34.88
New,2019,64.53
Original,2019,32.99
New,2017,114.42
New,2017,28.99
Original,2018,16.41
Original,2018,9.35
Original,2017,4.94
New,2019,0
Original,2017,22.29
Original,2018,0
New,2017,36.05
Original,2017,22.92
Original,2019,33.98
New,2018,5.66
Original,2018,17.95
New,2018,23.16
Original,2017,30.78
New,2018,19.55
New,2017,0
Original,2017,37.74
Original,2018,6.45
New,2017,12.07
Original,2019,152.48
New,2020,33.5
Original,2018,19.97
New,2017,4.11
Original,2017,11
New,2017,25.78
Original,2017,12.61
Original,2019,42.01
Original,2018,6.13
Original,2018,0
New,2018,0
New,2018,6.54
Original,2017,15.2
New,2018,34.96
New,2017,37.71
New,2017,8
Original,2017,44.56
